word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
(sin of) acedia,,,懒惰的罪,,,,,0,0,,,
(solid) products of weathering,,,风化固体物,,,,,0,0,,,
(Sp)-8-Br-cAMPS,,,cAMP类似物,,,,,0,0,,,
(spring) orchid,,,(春)兰,,,,,0,0,,,
(storage) location,,,（储存）位置,,,,,0,0,,,
(striped) hyena,,,[条纹] 鬣狗；土狼,,,,,0,0,,,
(sweetened)condensed milk,,,（加糖）炼乳,,,,,0,0,,,
(technical) process,,,（技术）处理,,,,,0,0,,,
(tercyclohexan)yl,,,联三环己基,,,,,0,0,,,
(terthiophen)yl,,,联三噻吩基,,,,,0,0,,,
(total) luminous flux standard lamp,,,总光束标准灯泡,,,,,0,0,,,
(traffic) bollard,,,(交通)障碍物标识,,,,,0,0,,,
(trans)-isomer,,,(反式)-异构,,,,,0,0,,,
(ts) chernozeme,,,黑色土壤；黑土；黑钙土,,,,,0,0,,,
(Ts)chernozem,,,黑色土壤;黑钙土,,,,,0,0,,,
(var. caput humerale) (m. flex. pollicis longi),,,(屈拇长肌)肱头(变),,,,,0,0,,,
(von kries') persistence law,,,等色不变定律,,,,,0,0,,,
(water) buffalo,,,水牛,,,,,0,0,,,
(written)application,,,[法] 申请书,,,,,0,0,,,
)(hazardous locations (classified),,,危险位置(分类),,,,,0,0,,,
- enchyma,'enkimə,,comb.form 表示“细胞组织”：collen-chyma,,,,,0,0,,,
- ern,ən,,suf. [附于表示方向的名词之后，构成形容词],,,,,0,0,,,
- fuge,fju:dʒ,,"comb.form 表示“驱逐”,“逐出”：febrifuge, vermifuge",,,,,0,0,,,
- head,,,comb.form 表示 “对…狂热的人”，“…上瘾的”，“…迷”:,,,,,0,0,,,
- headed,'hedid,,comb.form 表示；“有…头的”:；“有…个头的”:,,,,,0,0,,,
- hedral,'hi:drəl; 'he-,,"comb.form 表示“…面的”,“…面体的”:dihedral, polyhedral",,,,,0,0,,,
- hedron,'hi:drən; 'he-,,"comb.form [复数]-hedrons,-hedra 表示“…面体”:",,,,,0,0,,,
- hemia,'hi:miə,,comb.form [美国英语] =-haemia,,,,,0,0,,,
- mer,mə:,,"suf. 表示【化学】“基体”：isomer [参较-mere,-merous]",,,,,0,0,,,
- metrics,,,comb.form 表示“计量学”：biometrics; econo-metrics,,,,,0,0,,,
- morph,mɔ:f,,"comb.form 表示“形态”,“结构”：isomorph, allomorph",,,,,0,0,,,
- morphic,'mɔ:fik,,comb.form 表示“具有…形态的”：dolichomorphic,,,,,0,0,,,
- morphism,'mɔ:fizəm,,"comb.form 表示；“…形性”,“…形现象”：isomorphism；“…形化”：zoomorphism",,,,,0,0,,,
- morphosis,'mɔ:fəsis; mɔ:fəu-,,comb.form 表示“形态进化”，“形态变异”,,,,,0,0,,,
- morphous,'mɔ:fəs,,comb.form 表示“具有…形态的”：isomorphous,,,,,0,0,,,
- morphy,'mɔ:fi,,"comb.form 表示“…形性”,“…形现象”：heteromorphy",,,,,0,0,,,
- most,məust,,"suf. [用以构成形容词]表示“最”：foremost, utmost",,,,,0,0,,,
- motive,'məutiv,,"suf. 表示“动的”,“运动的”：locomotive",,,,,0,0,,,
- muscled,'mʌsld,,comb.form 表示“供以肌肉的”，“有…肌肉的”,,,,,0,0,,,
- mycete,'maisi:t; mai'si:t,,comb.form 【微生物学】表示“…菌类”：schizomycete,,,,,0,0,,,
- mycin,'maisin,,comb.form 【微生物学】表示“霉菌素”：aureomycin,,,,,0,0,,,
- phagia,'feidʒiə,,comb.form =-phagy:,,,,,0,0,,,
- philous,-filəs,,comb.form 表示“爱”，“喜爱”,,,,,0,0,,,
- scape,skeip,,"comb.form 表示“景色”,“画面”：landscape, moonscape",,,,,0,0,,,
- scope,skəup,,"comb.form 表示“观测仪”,“观察镜”;“(观测)显示器”;“被观测物”：telescope, kaleidoscope [参较-scopy]",,,,,0,0,,,
- scopic,'skɔpik,,"comb.form 表示：“观测仪的,观察镜的”;“显示器的”;“被观测物的”：telescopic, microscopic",,,,,0,0,,,
- scopy,'skəpi,,"comb.form 表示“观察”,“检查”：microscopy",,,,,0,0,,,
- seated,-'si:tid,,comb.form 表示；“具…座位的”：high-seated；“具…坐垫的”;“(裤子等)具…臀部的”：double-seated,,,,,0,0,,,
- seater,'si:tə,,comb.form 表示：“具…座位的飞机(或汽车等)”,,,,,0,0,,,
- sect,-sekt,,"comb.form 表示“切开”,“分开”：bisect;pinnatisect",,,,,0,0,,,
- seeded,-'si:did,,comb.form 表示“具…籽的”,,,,,0,0,,,
- syllabled,'siləbld,,comb.form 表示“有…音节的”：double-syllabled,,,,,0,0,,,
- taxy,'tæksi,,comb.form =-taxis :heterotaxy,,,,,0,0,,,
- teen,ti:n,,suf. 表示“十”(用来构成13～19的基数词),,,,,0,0,,,
- tene,ti:n,,"comb.form 表示：【生物学】；“有(染色体)线的”；“(染色体)减数分裂的前期阶段”：pachytene,diplotene",,,,,0,0,,,
- teria,'tiəriə,,suf. [用来构成名词]表示“自助餐馆”，“自助商店”：groceteria,,,,,0,0,,,
-'d,,,[网络] 呃,,,,,0,0,,,
-'er,,,[网络] 呃,,,,,0,0,,,
-'ll,,,[网络] -'二,,,,,0,0,,,
-'m,,,[网络] 是的,,,,,0,0,,,
-'re,,,[网络] -'回覆,,,,,0,0,,,
-'s,,,na. 字母；作名词所有格；缩写词之后构成复数；〈古〉同“God's”,,,,,0,0,,,
-'ve,,,[网络] 呃,,,,,0,0,,,
-a,,,[网络] -一个,,,,,0,0,,,
-a-,,,[网络] -一个-,,,,,0,0,,,
-a-palooza,,"an all-out amazing party; when you go all out and just have the funnest time ever.\n> At the palooza last night, I downed 19 beers.\n",,,,,,0,0,,,
-a-thon,,"When your currently on going in some pretty badass activites.\n> ""Bro this a smokeathon!"" ""Its a straight bluntathon.""\n",,,,,,0,0,,,
-ab,æb,,abbr. 空运（airborne）\nn. (Ab)人名；(尼日利)阿布；(英)阿布(教名Abijah、Able、Abner、Absalom的昵称),,,,,0,0,,,
-abilities,ə'bɪlətiz,,n. 能力，才能（ability的复数形式）,,,,,0,0,,,
-ability,ə'biliti,,"suf. [用于构成名词, 意义相当于-able]表示“能力”, “可能性”, “倾向性”, “适宜性”",,,,,0,0,,,
-able,əbl,,"suf. [附在动词或名词后构成形容词] 表示：“能…的,会…的”：durable; “可以…的”：drinkable; “具有…特性的”：fashionable; “有助于…的”,“倾向于…的”：peaceable; “易于…的”：breakable",,,,,0,0,,,
-ably,əbli,,suf. [构成与-able结尾的形容词相应的副词],,,,,0,0,,,
-about,ə'baʊt,,prep. 关于；大约\nadj. 在附近的；四处走动的；在起作用的\nadv. 大约；周围；到处\nn. 大致；粗枝大叶；不拘小节的人\nn. (About)人名；(法)阿布,,,,,0,0,,,
-ac,,,suff. 表示“有…性质的”；表示“关于…的”；表示“有…病的”,,,,,0,0,,,
-ac(o)usia,,,听,,,,,0,0,,,
-ac(o)usis,,,听,,,,,0,0,,,
-acal,,,suff. 用以构成形容词；再构成形容词,,,,,0,0,,,
-acanthus,ə'kænθəs,,n. 爵床属；莨苕叶形的装饰；叶形装饰,,,,,0,0,,,
-acea,'eiʃiə,,suf. [用以构成动物纲名、目名的复数]表示“纲”，“目”,,,,,0,0,,,
-aceae,'eisii:,,suf. [用以构成植物科名的复数]表示“科”,,,,,0,0,,,
-acean,'eiʃən,,"suf. [用以构成后缀为-acea的动物分类名词的单数]；[构成以-acea和-aceae作后缀的动植物名词的相应形容词,=-aceous] crustacean；[用以构成有关动植物的名词或形容词]表示“纲(目)动物”，“纲(目)的”",,,,,0,0,,,
-acene,,,comb.form 【有机化学】表示“省” (即链式并苯),,,,,0,0,,,
-aceous,,,suff. 【生】…类的,,,,,0,0,,,
-acid,,,酸,,,,,0,0,,,
-acious,'eiʃəs,,suf. [用以构成形容词]表示u201c有u2026特征(或倾向)的u201d，u201c以u2026为特征的u201d，u201c多u2026的u201d,,,,,0,0,,,
-acitate,,,[网络]  - 倾向,,,,,0,0,,,
-acity,'æsəti,,suf. [用以构成名词，相当于-acious]:表示u201cu2026的特性u201d，u201cu2026的倾向u201d，u201c多u2026的特点u201d,,,,,0,0,,,
-ack,ei si: kei,,abbr. 命令正确应答；确认字符（acknowledgement character）,,,,,0,0,,,
-acousia,,,听,,,,,0,0,,,
-acousis,,,听,,,,,0,0,,,
-actide,,,克肽,,,,,0,0,,,
-acusia,,,听,,,,,0,0,,,
-acusis,,,听,,,,,0,0,,,
-acy,əsi,,"suf. [用于构成抽象名词]表示性质, 状态, 位置, 地位, 职位",,,,,0,0,,,
-ad,'æd,," [医]〔状语性后缀〕意为向…方, 向…侧",,,,,0,0,,,
-ade,eid,,"suf. 用以构成名词表示：“行动”,“…的动作”：blockade; “行动者”：renegade; “行动者的集体”：cavalcade; “行动的产物”：arcade; “参与”,“参加”：brigade",,,,,0,0,,,
-adelic,,,[网络] 费城,,,,,0,0,,,
-adelphia,,,[网络]  - 费城,,,,,0,0,,,
-adelphous,ə'delfəs,, 表示“[植物学]有雄蕊束的”：monadelphous,,,,,0,0,,,
-adic,,,[网络] 自制,,,,,0,0,,,
-ado,,,suff. 来自西班牙语的名词的词尾,,,,,0,0,,,
-adom,,,朵,,,,,0,0,,,
-ae,ei,,abbr. 行政帐户（account executive）；航空工程（Aeronautical Engineer）,,,,,0,0,,,
-aemia,'i:miə,, [用以构成名词]表示血液,,,,,0,0,,,
-aena,'i:nə,,comb.form [用以构成名词]-ena的异体,,,,,0,0,,,
-aer,ɛr,,abbr. 《美国经济评论》（期刊）（American Economic Review）；阴离子交换树脂,,,,,0,0,,,
-afenone,,,非农,,,,,0,0,,,
-agar,,,琼脂,,,,,0,0,,,
-age,idʒ,,comb. 表示数量;表示动作;表示身份;表示地方,,,,,0,0,,,
-agnostic,æg'nɒstɪk,,n. 不可知论者\nadj. 不可知论的,,,,,0,0,,,
-agog,ə'ɡɔɡ; ə'ɡɔ:ɡ,,comb.form [主美国英语]＝-agogue,,,,,0,0,,,
-agoga,,,"催,利,促进剂",,,,,0,0,,,
-agogue,ə'ɡɒɡ,," [医]〔后缀〕意为催, 利",,,,,0,0,,,
"-agogue,-agog",ə'ɡɔɡ; ə'ɡɔ:ɡ,,"comb.form [用以构成名词]；表示“鼓动者”,“引导者”：demagogue, pedagogu；表示“催(或利)分泌的东西”：emmenagogue, galactagogue",,,,,0,0,,,
-agogy,,,[网络] 有趣的,,,,,0,0,,,
-agra,,,痛发作,,,,,0,0,,,
-aholic,,, 嗜好…的；对…成瘾的,,,,,0,0,,,
-aid,eid,,comb.form [多用以构成专有名词]表示“…的慈善机构”，“为…募捐”：Ferry-aid,,,,,0,0,,,
-ain,,,"…地方的人,精通…的人",,,,,0,0,,,
-aire,'εə,,suf. [法语借词，用以构成名词]表示“以(词干部分内容)为特征(或职业)的人”：millionaire， doctrinaire,,,,,0,0,,,
-al,,," [医]〔后缀〕用于化合物名之后, 示有醛基-CHO存在, 如chloral（氯醛, 三氯乙醛）",,,,,0,0,,,
-alcolol,,,醇,,,,,0,0,,,
-aldehyde,,,醛,,,,,0,0,,,
-aldrate,,,铝,,,,,0,0,,,
-ales,'eili:z,,"suf. [用以构成名词]【植物学】表示“(分类的)目”：cycadales, rosales",,,,,0,0,,,
-algesia,,,痛,,,,,0,0,,,
-algia,'ælɡə,, [医]〔后缀〕意为痛,,,,,0,0,,,
-algy,'ældʒi,,suf. algia 的异体：coxalgy,,,,,0,0,,,
-alia,,, （与某活动或兴趣范围）有关的物品,,,,,0,0,,,
-alis,,,suf. [用以构成拉丁语源的科技名词]：borealis,,,,,0,0,,,
-ality,,,suff. 表示“性质”；morality,,,,,0,0,,,
-all,ɔːl,,adj. 全部的\nadv. 全然地；越发\nn. 全部\npron. 全部\nn. (All)人名；(瑞典)阿尔；(英)奥尔,,,,,0,0,,,
-ally,,, 以-al结尾的形容词加ly构成副词),,,,,0,0,,,
-altering,'ɔltɚ,,n. 变更\nv. 变更（altering的现在分词）,,,,,0,0,,,
-ambulist,,,[网络]  - 坦率主义者,,,,,0,0,,,
-amic,'æmɪk,,adj. 氨的；氨化物的\nn. (Amic)人名；(法、西)阿米克,,,,,0,0,,,
-amide,,,酰胺,,,,,0,0,,,
-amidine,,,胱,,,,,0,0,,,
-amine,-əmin,,comb.form [用于复合词词尾]= amino-:,,,,,0,0,,,
-amundo,,,[网络] 山姆,,,,,0,0,,,
-an,æn,,"suf. 表示; “碳水化合物的酐类”：dextran; “不饱和的碳化物”：tolan; 用于专有人、地名等后构成通常可兼作名词用的形容词表示“…时期的(人)”, “…地方的(人)”, “在…居住的(人)”, “在…出生的(人)”：American, Asian, Elizabethan, Victorian; 用于表示体制、学科等的词后及宗教或其他流派创始人的人名后构成可兼作名词的形容词或单词性的形容词或名词表示“精通…的(人)”, “带有…特征的(人)”, “属于…的(人)”, “信奉…的(人)”, “追随…的(人)”",,,,,0,0,,,
-ana,,,suff. 逸话,,,,,0,0,,,
-ance,əns,,"suf. 性质,状况：annoyance, importance; 表示程度,总量：conductance; 行动,行为,过程：performance, utterance",,,,,0,0,,,
-ancy,ənsi,,"suf. =-ance (尤其多表示“性质”, “状况”)：",,,,,0,0,,,
-and,,,[网络] -和,,,,,0,0,,,
-ander,,,[网络]  - 兰德,,,,,0,0,,,
-andrian,,,[网络]  - 和平,,,,,0,0,,,
-androus,'ændrəs,,"suf. 用于构成植物学的形容词表示u201c具雄蕊的u201d：monandrous,polyandrous",,,,,0,0,,,
-andry,'ændri,,suf. [构成名词]表示“雄性”：polyandry,,,,,0,0,,,
-ane,'eɪn,," [医]〔词尾〕意为饱和开链碳氢化合物, CnH2n+2",,,,,0,0,,,
-aneity,,,性质等,,,,,0,0,,,
-aneous,,,suff. 属于…的,,,,,0,0,,,
-angle,,,[网络] -角度,,,,,0,0,,,
-angular,,,[网络] 矩形,,,,,0,0,,,
-anserin,,,色林,,,,,0,0,,,
-ant,ənt,,"suf. [构成形容词] 表示：进行...动作的,处于...状态的,促进...作用的：repentant, triumphant, expectorant; 有...的,显示...的,做...的：defiant, radiant; [构成名词]表示进行...动作的人,施行...作用者,...者(人或物):accountant, assistant, occupant",,,,,0,0,,,
-anth,,,[网络] 慈善,,,,,0,0,,,
-anthous,'ænθəs,,comb.form [用以构成复合形容词]表示“有…(种类或数目)花的”：monanthous,,,,,0,0,,,
-anthropy,,,[网络] 慈善事业,,,,,0,0,,,
-anum,,,suf. [源自拉丁语的科技词汇的后缀]：laudanum,,,,,0,0,,,
-anus,,,suf. [源自拉丁语的科技词汇的后缀],,,,,0,0,,,
-ap,",e 'pi",,abbr. 美国联合通讯社（Associated Press）；空气污染（Air Pollution）；大气规划（Air Program）；汇编程序（Assembly Program）\nn. (Ap)人名；(中)鸭(广东话·威妥玛),,,,,0,0,,,
-appointed,ə'pɒɪntɪd,,adj. 约定的，指定的\nv. 任命；指定；约定时间，地点（appoint 的过去分词形式）,,,,,0,0,,,
-appropriate,ə'prəʊprɪət,,adj. 适当的\nvt. 占用；拨出,,,,,0,0,,,
-ar,ə,,"suf. [构成形容词]表示：...的：molecular,nuclear; ...状的,似...的：triangular; 有...特性的：popular; [构成名词]表示：...的人,...的物：bursar, scholar, vicar, morta; 动作者[-er或-or的异体]：liar, pedlar",,,,,0,0,,,
-arabine,,,拉滨,,,,,0,0,,,
-arch,ɑ:k,," 表示“原始的”; 表示“统治者”, “首领”, “领导者”",,,,,0,0,,,
-archies,'ɑ:tʃi,,n. 高射炮（等于archibald）,,,,,0,0,,,
-archy,'ɑ:ki,," 表示管理,统治,政体：matriarchy,monarchy",,,,,0,0,,,
-ard,əd,,"suf. 表示沉湎于...的人,过于...的人：drunkard,sluggard",,,,,0,0,,,
-aria,'εəriə,,suf. [用以构成生物学上分类名称的复数名词],,,,,0,0,,,
-arian,'εəriən,,"suf. [构成形容词或名词]表示：...岁的(人)：octogenarian, centenarian; ...派的(人);...主义的(人)：Unitarian,utilitarian; 从事...工作(或职业)的(人)：argarian,antiquarian; 制定(或做出)...的(人)：disciplinarian",,,,,0,0,,,
-arily,,,有…性质地,,,,,0,0,,,
-arino,,What your coworker refers to you as when (s)he hasn't learned your name for over 2 years.\n> Let me transfer your call to Arino.\n,,,,,,0,0,,,
-arious,,,suff. …性的,,,,,0,0,,,
-aris,'æris,,suf. [用以构成拉丁文科技专有名词的词尾],,,,,0,0,,,
-arit,,,(扎)利,,,,,0,0,,,
-arium,,,na. 〈外〉后缀,,,,,0,0,,,
-ariums,'εəriəm,,"-arium\n['εəriəm]\nsuf.\n[构成名词]表示“与…有关的东西”,“作…用的地方”：solarium,terrarium,planetarium",,,,,0,0,,,
-arius,εəriəs,,suf. [源于拉丁语的科学词语的后缀],,,,,0,0,,,
-armed,ɑːmd,,adj. 武装的；有扶手的；有防卫器官的（指动物）\nn. (Armed)人名；(科摩)阿米德,,,,,0,0,,,
-arol,,,香豆素,,,,,0,0,,,
-arsine,,,胂,,,,,0,0,,,
-art,ət,,suf. [用以构成名词]表示“过于…的人”，“沉湎于…的人”：braggart,,,,,0,0,,,
-ary,ɛri,,"suf. [构成形容词]表示...的, 与...有关的, 与...有联系的, 属于...的：auxiliary, elementary; [构成名词]表示：与...有关的人,从事...的人：missionary; 与...有关之物：dictionary; ...的处所,...的地方：granary,aviary; [拉丁语-aris][构成名词和形容词]表示：像...(的), 同类(的)：military",,,,,0,0,,,
-as,æz; əz,,conj. 因为；随着；虽然；依照；当…时\nprep. 如同；当作；以…的身份\nadv. 同样地；和…一样的,,,,,0,0,,,
-asauras,,A smart intelligent beautiful. Loyal to a fault. Overthinker . Day dreamer.Has a smart ass mouth with a wicked since of humor... Can be very sensitive at times.. Cries when there home alone. So freakish and is willing to try anything once..\r\n#Asaura=Winning #Asaura#Keeper\n> Everyone can learn a thing or to from a asaura.\n,,,,,,0,0,,,
-asauras rex,reks,,n. 国王（英国国王在位时用于政府诉讼案案目等）\n[网络] 雷克斯；何浚尉；抱抱龙,,,,,0,0,,,
-ase,'eɪs,, [医]〔词尾〕酶,,,,,0,0,,,
-asis,'eɪsɪs,, [医]〔后缀〕情况，状态：另见-sis,,,,,0,0,,,
-asm,,,性质,,,,,0,0,,,
-ass,æs,,n. 屁股；驴子；蠢人\nn. (Ass)人名；(俄)阿斯,,,,,0,0,,,
-assed,,,[网络] 好了,,,,,0,0,,,
-ast,,,abbr. 大西洋标准时间（Atlantic Standard Time）\nn. (Ast)人名；(德、塞、捷、法)阿斯特,,,,,0,0,,,
-aster,'æstə,," [用以构成生物学属名]表示“星”, “星状结构”：diaster\nsuf. 表示“劣等的”,“次等的”,“伪的”,“无价值的”：criticaster, poetaster",,,,,0,0,,,
-astic,,,[网络] 狂热的,,,,,0,0,,,
-astine,,,斯汀,,,,,0,0,,,
-astry,,,[网络]  - 行业,,,,,0,0,,,
-at,,,[网络] -在,,,,,0,0,,,
-ate,,," [医]〔后缀〕构成分词名词。加于词根, 表示为该词根原意的产物或作用。例如hemolysate表示溶血产物",,,,,0,0,,,
-ated,'eitid,,suf. [构成形容词]表示“有…的”：loculated,,,,,0,0,,,
-athlon,,,[网络] 赛跑,,,,,0,0,,,
-athon,,, 持续时间很长的活动（尤指为慈善事业募集基金）,,,,,0,0,,,
-atic,'ætik,,suf. [构成形容词或名词]表示u201cu2026的(人或物)u201d，u201cu2026性的(人或物)u201d，u201cu2026种类的(人或物)u201d[用于源自希腊语和拉丁语的形容词],,,,,0,0,,,
-atile,,,[网络] 通用,,,,,0,0,,,
-atim,,,[网络]  - 临时,,,,,0,0,,,
-ating,et; eit,,v. 吃（eat的过去式）,,,,,0,0,,,
-ation,,, ——见 -ion,,,,,0,0,,,
-ative,'etɪv,,"suf. [构成形容词]表示：有...关系的,有...性质的：authoritative,decorative; 有...倾向的：talkative,informative",,,,,0,0,,,
-ator,'eitə,,"suf. [构成名词]表示做...动作的人,...者,...物,起...作用的物：improvisator,cinerator",,,,,0,0,,,
-atory,,,suff. 表示“具有…特征的”；“由…产生的”,,,,,0,0,,,
-atpase,",ei,ti:'pi:,eis",,n. ATP酶；腺苷三磷酸酶,,,,,0,0,,,
-axis,'æksɪs,,n. 轴；轴线；轴心国,,,,,0,0,,,
-axo-,,"Alpha Chi Omega was founded in 1885 at DePauw University in Indiana as the first sorority in the school of music. Today Alpha Chi is still going strong with some of the most beautiful and succesful women you can find, and are known for helping the community. Beauty, brains, and a good reputation...what more could you ask for. Famous Alpha Chi's include Trista from ABC's the Bachlorette, Dawn Wells who played Mary Ann on Gilligan's Island, and my personal favorite, Condoleeza Rice. A lot of jealous people make rude comments, but we dont care because we know we're destined for success\n> I wish I could be an AXO.\n",,,,,,0,0,,,
-ay,eɪ,,int. 唉！呜呼！（表示惊愕、悔恨、痛苦）\nn. 赞成票；赞成者\nadv. 永远，永久地\nn. (Ay)人名；(法、土、老)艾；(匈)奥伊,,,,,0,0,,,
-azam,,,(巴)占,,,,,0,0,,,
-azenil,,,西尼,,,,,0,0,,,
-azepam,,,[网络]  - 西泮,,,,,0,0,,,
-azide,,,叠氮,,,,,0,0,,,
-azocie,,,佐辛,,,,,0,0,,,
-azoline,,,唑啉,,,,,0,0,,,
-azosin,,,唑嗪,,,,,0,0,,,
-azzi,ɑ:tsi,,"comb.form [构成复数名词]表示；“偷拍照片者”：stalkerazzi,videorazzi；“跟踪者”[亦作-razzi]",,,,,0,0,,,
-b,,,-B,,,,,0,0,,,
-ba-,'bi 'e,,abbr. 文学士（Bachelor of Arts）\nn. (Ba)人名；(日)马(姓)；(阿拉伯、柬、几、马里、刚(金)、毛里塔、塞内、缅)巴,,,,,0,0,,,
-babble,'bæb(ə)l,,vi. 喋喋不休；呀呀学语；作潺潺声\nvt. 含糊不清地说；泄露\nn. 含糊不清的话；胡言乱语；潺潺声,,,,,0,0,,,
-bac-,",bi e 'si",,abbr. 二进制模拟转换（Binary-Analog Conversion）；（美国）波音飞机公司（Boeing Airplane Company）；英国飞机公司（British Aircraft Corporation）\nn. (Bac)人名；(法、西)巴克,,,,,0,0,,,
-backed,bækt,,adj. 有背的；有财力支持的\nv. 支持；使后退（back的过去分词）,,,,,0,0,,,
-bactam,,,巴坦,,,,,0,0,,,
-bacter,",bæktə",,comb.form [用以构成细菌的属名]表示“杆”：aerobacter,,,,,0,0,,,
-baiting,'beitiŋ,,n. 诱饵\nv. 诱惑（bait的ing形式）,,,,,0,0,,,
-ball,bɔ:l,,"comb.form [主美国俚语]表示；“令人讨厌或古怪的人”：goofball；“自作聪明的人”,“傻瓜”：butterball",,,,,0,0,,,
-bamate,,,氨酯,,,,,0,0,,,
-banded,'bændid,,comb.form [常与数词、颜色词等构成复合词]表示“有带子的”，“有条纹的”，“有斑纹的”,,,,,0,0,,,
-barb,,,巴比,,,,,0,0,,,
-barbital,,,巴比妥,,,,,0,0,,,
-barred,bɑːd,,adj. 被禁止的；有条纹的\nv. （用栅栏）阻挡（bar的过去式）,,,,,0,0,,,
-barrelled,'bærəld,,adj. 桶装的；装了桶的\nv. 把…装入桶内；高速行驶（barrel的过去分词）,,,,,0,0,,,
-based,beist,, “驻(或设)在…的”，“以…为活动中心的”; “以…为基础”; [用以构成复合词]表示利用…为其主要手段的,,,,,0,0,,,
-basher,'bæʃə,,n. 手灯；怒殴者；痛击者，破坏者\nn. (Basher)人名；(英)巴舍,,,,,0,0,,,
-bashing,'bæʃiŋ,,"comb.form [口语] [附在名词后构成名词或形容词] 表示；“抨击”,“非难”,“恶毒攻击”,“猛揍”：government-bashing, union-bashing；“工作”,“活动”：spud-bashing",,,,,0,0,,,
-beaked,bi:kt,,adj. 有喙的；鸟嘴状的,,,,,0,0,,,
-bearing,'beərɪŋ,,n. [机] 轴承；关系；方位；举止\nv. 忍受（bear的ing形式）,,,,,0,0,,,
-bedded,'bedid,,adj. [地质] 层状的\nv. 为…提供住宿处；上床；固定在…上；分层（bed的过去分词）,,,,,0,0,,,
-bedroomed,"'bed,rumd",,comb.form [与数词构成复合形容词]表示“有(一定数量)的卧室的”：,,,,,0,0,,,
-behaved,bi'heivd,,v. 举止，行为（behave的过去式）,,,,,0,0,,,
-bellied,,, ——见 belly,,,,,0,0,,,
-bendazole,,,苯达唑,,,,,0,0,,,
-bia,,,abbr. （美）移民申请局（Board of Immigration Appeals）；（美）印第安人事务局（Bureau of Indian Affairs）；美国布莱叶盲字学会（Braille Institute of America）\nn. (Bia)人名；(法、葡)比亚；(越)碑,,,,,0,0,,,
-bie,,,abbr. 工业工程学士（Bachelor of Industrial Engineering）\nn. (Bie)人名；(瑞典、苏里)比耶,,,,,0,0,,,
-bility,'biləti,,"suf. 用以构成由-able,-ible,-uble 结尾的形容词的抽象名词：possibility, readability",,,,,0,0,,,
-billed,bild,,comb.form [用以构成复合词]表示“有喙的”，“有扁平(或钩形、细长)嘴的”,,,,,0,0,,,
-biont,'baiɔnt,,comb.form 表示“具有某种生活方式者”：haplobiont,,,,,0,0,,,
-bioses,'baiɔs,,abbr. 基本输入/输出系统Basic Input / Output System）\nn. (Bios)人名；(法)比奥斯,,,,,0,0,,,
-biosis,bɪ'osɪs,," 表示(某种)生活方式：anabiosis,symbiosis",,,,,0,0,,,
-biotic,baɪ'ɒtɪk,,a. 生物的；有关生命的,,,,,0,0,,,
-blast,blæst,," 表示胚(芽),胚胎,胚层,细胞,原基：idioblast, splanchnoblast(内脏原基)",,,,,0,0,,,
-blastic,"blɑ:st, blæstik",,a. 再结晶的,,,,,0,0,,,
-ble,,,suff. 可,,,,,0,0,,,
-blooded,'blʌdɪd,,adj. 血统优良的；有血的,,,,,0,0,,,
-bloody-,'blʌdɪ,,adj. 血腥的；非常的；嗜杀的，残忍的；血色的\nvt. 使流血\nadv. 很,,,,,0,0,,,
-bodied,'bɒdɪd,,adj. 有形的；有躯体的\nv. 赋…以形体；体现（body的过去分词）,,,,,0,0,,,
-boned,'bəʊnd,,adj. 骨骼的；去掉骨头的；用骨架撑起的；施过骨粉料的；去骨的\nn. (Boned)人名；(西)博内德,,,,,0,0,,,
-bore,'bɔːr,,"adj.  枪筒的；与数词连用组成形容词指枪筒的尺寸的； comb. 表示""...口径的""",,,,,0,0,,,
-born,bɔːn,,v. 出世（bear的过去分词）\nadj. 天生的\nn. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩,,,,,0,0,,,
-borne,bɔ:n,,comb.form 表示“(以…方式)传播(或运送、负载等)的”,,,,,0,0,,,
-boro,,,[网络] 宝宝,,,,,0,0,,,
-borough,'bʌrə,,n. 区；自治的市镇\nn. (Borough)人名；(英)伯勒,,,,,0,0,,,
-bosomed,'buzəmd,,comb.form 表示“有…胸的”,,,,,0,0,,,
-bot,bɔt,,comb.form 表示“机器人程序”：knowbot,,,,,0,0,,,
-bottomed,'bɔtəmd,,"comb.form 表示“底部…”的,“有…底的”：flat-bottomed平底(船)",,,,,0,0,,,
-bound,baund,,comb. 因某种情况而受阻的；开往…的，往…去的,,,,,0,0,,,
-bradine,,,雷定,,,,,0,0,,,
-brained,breind,,comb.form 表示：；“有…脑袋的”：large-brained dinosaurs,,,,,0,0,,,
-branch,brɑ:tʃ; brætʃ,,comb.form 【脊椎动物学】表示“具有…鳃的”：lamellibranch,,,,,0,0,,,
-breasted,'brestid,,n. 布雷斯特德（姓氏）,,,,,0,0,,,
-bria,,,布丽娅（女名）,,,,,0,0,,,
-brian,'braɪən,,n. 布莱恩（男子名）,,,,,0,0,,,
-brimmed,brimd,,comb.form [用以构成形容词]表示“有…的边的”：wide-brimmed,,,,,0,0,,,
-browed,braud,,"comb.form 表示“长着…眉头的”,“长着…额头的”：high-browed,low-browed",,,,,0,0,,,
